Title,Country,Year,Policy Status,Policy Type,Policy Target
Import Duty Exemptions ,Bolivia,2009,In Force ,"Economic Instruments, Economic Instruments>Fiscal/financial incentives, Economic Instruments>Fiscal/financial incentives>Tax relief ","Multiple RE Sources, Multiple RE Sources>Power"
Patriotic Agenda of the Bi-century 2015-2025 ,Bolivia,2015,In Force ,"Policy Support, Policy Support>Strategic planning ","Multiple RE Sources, Multiple RE Sources>Power"
Reglamento Sobre Recursos Provenientes del Sector Electrico Destinados a Electrificacion,Bolivia,1999,In Force ,"Regulatory Instruments, Economic Instruments>Fiscal/financial incentives>Grants and subsidies ",Multiple RE Sources
The Electricity Law ,Bolivia,1994 (last amended 2014),In Force ,"Regulatory Instruments, Regulatory Instruments>Codes and standards, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ","Multiple RE Sources, Multiple RE Sources>Power"
VAT and import duties exemptions for renewable technologies (Beni and Pandofor) ,Bolivia,2005,In Force ,"Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives, Economic Instruments ","Multiple RE Sources, Multiple RE Sources>All"
Vice-Ministry of Electricity and Alternative Energy ,Bolivia,2009,In Force ,"Policy Support, Policy Support>Institutional creation ","Multiple RE Sources, Multiple RE Sources>All"
"Decision on the amount of the fee to encourage electricity generation from renewable energy sources and efficient co-generation, Republic of Srpska",Bosnia and Herzegovina,2012 (January 1st),In Force ,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ,Multiple RE Sources
"Decision on the amount of the feed-in prices and premiums for generation of electricity from RES and in efficient co-generation, Republic of Srpska",Bosnia and Herzegovina,2012 (January 1st),In Force ,"Economic Instruments>Fiscal/financial incentives, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives>Taxes ",Multiple RE Sources
Decree on generation and consumption of electricity from renewable sources and cogeneration in Republic of Srpska,Bosnia and Herzegovina,2011 (March 30th),In Force ,"Policy Support, Policy Support>Strategic planning ","Multiple RE Sources, Bioenergy>Co-firing with fossil fuels"
National Environmental Action Plan (NEAP),Bosnia and Herzegovina,2003,In Force ,"Policy Support>Strategic planning, Policy Support ",Multiple RE Sources
Regulation amending regulation on use of renewable energy and co-generation,Bosnia and Herzegovina,2011 (March 14th),In Force ,"Economic Instruments>Fiscal/financial incentives, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ",Multiple RE Sources
"Rule Book on incentives for generation of electricity from RES and efficient co-generation, Republic of Srpska",Bosnia and Herzegovina,2012 (January 1st),In Force ,"Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives>Taxes, Policy Support>Strategic planning, Regulatory Instruments>Other mandatory requirements ","Multiple RE Sources, Bioenergy>Co-firing with fossil fuels, Hydropower, Wind, Bioenergy"
10th National Development Plan 2009-2016 (NDP10),Botswana,2009,In Force ,Policy Support>Strategic planning ,"Multiple RE Sources, Multiple RE Sources>All"
9th National Development Plan 2003-2009 (NDP9),Botswana,2003,Ended ,Policy Support>Strategic planning ,"Multiple RE Sources>Power, Multiple RE Sources, Multiple RE Sources>All"
Botswana Energy Master Plan,Botswana,1996 (reviewed 2003),In Force ,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Policy Support>Strategic planning, Research, Development and Deployment (RD&D)>Research programme >Technology development ","Solar>Solar photovoltaic, Multiple RE Sources>Power, Solar"
Renewable Energy Fund for off-grid solutions ,Botswana,2015,In Force ,"Economic Instruments, Economic Instruments>Fiscal/financial incentives>Loans, Economic Instruments>Direct investment, Economic Instruments>Direct investment>Infrastructure investments, Economic Instruments>Fiscal/financial incentives ","Solar, Solar>Solar photovoltaic, Multiple RE Sources, Multiple RE Sources>Power"
Vision 2016 of Botswana ,Botswana,1996\n,In Force ,"Policy Support, Policy Support>Strategic planning ","Solar, Solar>Solar photovoltaic, Bioenergy, Multiple RE Sources, Multiple RE Sources>Power"
2010-2019 Plan for Energy Expansion,Brazil,2010,In Force ,"Economic Instruments>Direct investment>Infrastructure investments, Policy Support, Policy Support>Strategic planning ",Multiple RE Sources
Brazil Inova Energia Program,Brazil,2013 (May 3rd),In Force ,"Information and Education>Information provision, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Loans ",Multiple RE Sources>All
Brazil National Climate Change Plan,Brazil,2008,In Force ,"Policy Support>Strategic planning, Policy Support ","Wind, Solar Thermal, Solar>Solar photovoltaic, Multiple RE Sources, Hydropower, Bioenergy, Bioenergy>Biofuels for transport"
Brazil Net Metering for Distributed Generation,Brazil,2012 (April 19th),In Force ,"Regulatory Instruments, Economic Instruments>Fiscal/financial incentives>User charges ",Multiple RE Sources>Power
Brazil Renewable Energy Auctions,Brazil,2007 (last updated 2015),In Force ,"Economic Instruments>Market-based instruments, Regulatory Instruments ","Multiple RE Sources>All, Multiple RE Sources>Power, Wind, Bioenergy>Biomass for power, Hydropower"
Interministerial Commission on Climate Change (CIMGC),Brazil,1999,In Force ,"Information and Education>Advice/Aid in Implementation, Policy Support>Institutional creation, Policy Support>Strategic planning, Policy Support, Research, Development and Deployment (RD&D) ",Multiple RE Sources>All
Luz para Todos (Light for All) electricifation programme,Brazil,2003,In Force ,"Economic Instruments>Direct investment>Infrastructure investments, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Loans, Policy Support ","Multiple RE Sources>Power, Multiple RE Sources"
National Rural Electrification Programme - Programa Nacional de Electrificação Rural,Brazil,1999,Superseded ,"Economic Instruments>Direct investment>Infrastructure investments, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Loans ","Multiple RE Sources>Power, Multiple RE Sources>CHP"
Energy Act ,Bulgaria,2013 (last amended mid-2015),In Force ,Policy Support ,Multiple RE Sources>All
Energy from Renewable Sources Act (ERSA),Bulgaria,2011 (last amended mid-2015),In Force ,"Policy Support>Institutional creation, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Economic Instruments>Fiscal/financial incentives>Taxes ",Multiple RE Sources>All
National Renewable Energy Action Plan (NREAP),Bulgaria,2010,In Force ,"Policy Support, Policy Support>Strategic planning, Economic Instruments, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ","Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Cooling, Multiple RE Sources>Heating, Multiple RE Sources>Power, Bioenergy>Biofuels for transport"
Ordinance on the vocational education for “fitters of energy equipment and installations”,Bulgaria,2012,In Force ,Information and Education ,Multiple RE Sources>All
Law 053-2012 on general regulation of the electricity sub sector ,Burkina Faso,2013 (Feb 7th),In Force ,"Policy Support, Regulatory Instruments ",Multiple RE Sources
National White Paper for 2020 ,Burkina Faso,2008 (Jan),In Force ,Policy Support>Strategic planning ,"Multiple RE Sources, Solar"
Sectorial Policy of Energy,Burkina Faso,2013 (Oct),In Force ,"Policy Support, Policy Support>Strategic planning ","Multiple RE Sources, Multiple RE Sources>All"
Accelerated Capital Cost Allowance,Canada,2007,In Force ,Economic Instruments>Fiscal/financial incentives>Tax relief ,"Wind>Onshore, Bioenergy>Biomass for heat, Bioenergy>Biomass for power, Bioenergy>Co-firing with fossil fuels, Hydropower, Multiple RE Sources>All, Ocean, Ocean>Tidal, Ocean>Wave, Solar>Solar photovoltaic, Solar Thermal, Wind, Wind>Offshore"
British Columbia Clean Energy Act: Clean or Renewable Electricity Requirement,Canada,2010,In Force ,"Policy Support, Regulatory Instruments>Other mandatory requirements ",Multiple RE Sources
Canadian Renewable Conservation Expenses (CRCE),Canada,1996,In Force ,Economic Instruments>Fiscal/financial incentives>Tax relief ,"Multiple RE Sources>All, Multiple RE Sources"
Clean Energy Fund ,Canada,2009,In Force ,"Research, Development and Deployment (RD&D), Economic Instruments>Direct investment>RD&D funding, Economic Instruments>Direct investment>Infrastructure investments ",Multiple RE Sources
Clean Energy Fund - Renewable Energy and Clean Energy Systems Demonstration Projects,Canada,2009,In Force ,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Research, Development and Deployment (RD&D)>Demonstration project ","Solar Thermal, Bioenergy>Biomass for heat, Bioenergy>Biomass for power, Geothermal>Heat, Geothermal>Power, Hydropower, Multiple RE Sources>Heating, Geothermal, Ocean, Solar>Solar photovoltaic"
Climate Change Action Fund,Canada,1999,Ended ,"Economic Instruments>Fiscal/financial incentives, Policy Support, Research, Development and Deployment (RD&D), Information and Education>Information provision, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Research, Development and Deployment (RD&D)>Research programme , Research, Development and Deployment (RD&D)>Research programme >Technology development ",Multiple RE Sources>All
Climate Change Action Fund - Technology Early Action Measures (TEAM),Canada,1999,Ended ,"Research, Development and Deployment (RD&D), Economic Instruments>Fiscal/financial incentives>Grants and subsidies ",Multiple RE Sources>All
Climate Change Technology and Innovation Research and Development,Canada,2003,Superseded ,"Voluntary Approaches>Negotiated Agreements (Public-private sector), Information and Education>Advice/Aid in Implementation, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Direct investment, Research, Development and Deployment (RD&D) ",Multiple RE Sources>All
ecoENERGY for Renewable Power,Canada,2007,Ended ,Economic Instruments>Fiscal/financial incentives>Grants and subsidies ,"Solar>Solar photovoltaic, Geothermal>Power, Hydropower, Multiple RE Sources>Power, Ocean>Tidal, Ocean>Wave"
ecoENERGY Technology Initiative,Canada,2007,In Force ,"Research, Development and Deployment (RD&D), Information and Education>Information provision, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ","Wind, Bioenergy, Multiple RE Sources>All, Ocean>Tidal, Solar, Solar>Solar photovoltaic, Solar Thermal"
Extending Tax Incentives for Renewable and Alternative Energy,Canada,2003,Superseded ,Economic Instruments>Fiscal/financial incentives ,Multiple RE Sources>All
Federal House in Order Programme,Canada,2001,Superseded ,"Regulatory Instruments>Codes and standards, Economic Instruments>Direct investment>Procurement rules, Regulatory Instruments>Obligation schemes  ",Multiple RE Sources>All
Government Purchases of Electricity from Renewable Resources,Canada,1997,Ended ,Economic Instruments>Fiscal/financial incentives>Grants and subsidies ,"Wind>Onshore, Bioenergy>Biomass for power, Hydropower, Multiple RE Sources>Power"
Green Municipal Fund,Canada,2000,In Force ,"Economic Instruments>Direct investment, Economic Instruments>Fiscal/financial incentives, Economic Instruments>Direct investment>Funds to sub-national governments, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Direct investment>Infrastructure investments, Economic Instruments>Fiscal/financial incentives>Loans ",Multiple RE Sources>All
Market Incentive Program,Canada,2002,Ended ,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives ",Multiple RE Sources>All
New Brunswick Climate Change Action Plan (2014 - 2020),Canada,2014,In Force ,"Regulatory Instruments>Other mandatory requirements, Policy Support>Strategic planning ",Multiple RE Sources
Nova Scotia Electricity Sector Regulations,Canada,2009,In Force ,"Regulatory Instruments>Other mandatory requirements, Policy Support>Strategic planning ",Multiple RE Sources
